filename,raw_text,final_text
MN2.jpg,Tr,TR
CG14.jpg,No Plate,No Plate
CG15.jpg,No Plate,No Plate
WB5.jpg,1i06 6 LIIu,11066L11U
JK12.jpg,JI0100114Y,J10100114Y
MH2.jpg,No Plate,No Plate
GJ22.jpg,No Plate,No Plate
DL11.jpg,No Plate,No Plate
DN5.jpg,ca 09 0 1724,CA0901724
UP2.jpg,No Plate,No Plate
JH10.jpg,No Plate,No Plate
DN7.jpg,No Plate,No Plate
DL19.jpg,Nt 3702,NT3702
JH6.jpg,No Plate,No Plate
AS7.jpg,No Plate,No Plate
SK9.jpg,No Plate,No Plate
TS6.jpg,No Plate,No Plate
GA9.jpg,HMrT,HMRT
ML14.jpg,Qimm,Q1MM
KL3.jpg,No Plate,No Plate
